Combos,Probability,Hand,W,T,L
6,0.45%,AA,1781508418,11402312,304661670
6,0.45%,KK,1722470558,11676960,363424882
6,0.45%,QQ,1670338644,12299076,414934680
6,0.45%,JJ,1618339604,13277356,465955440
6,0.45%,TT,1566053110,14746566,516772724
6,0.45%,99,1503238936,16428186,577905278
6,0.45%,88,1441396848,18695790,637479762
4,0.30%,AKs,1389004215,34610976,673957209
6,0.45%,77,1378636878,21423310,697512212
4,0.30%,AQs,1370002117,37553414,690016869
4,0.30%,AJs,1350786717,41744140,705041543
12,0.90%,AKo,1352291878,35687839,709592683
4,0.30%,ATs,1331725962,46711746,719134692
12,0.90%,AQo,1332142795,38723369,726706236
12,0.90%,AJo,1311720573,43129563,742722264
4,0.30%,KQs,1309061790,41615142,746895468
6,0.45%,66,1315178390,24530044,757863966
4,0.30%,A9s,1290209940,53342951,754019509
12,0.90%,ATo,1291435142,48393949,757743309
4,0.30%,KJs,1289515286,45759944,762297170
4,0.30%,A8s,1269195105,60242341,768134954
4,0.30%,KTs,1270857555,50404375,776310470
12,0.90%,KQo,1267610255,42939290,787022855
4,0.30%,A7s,1245678450,67008466,784885484
12,0.90%,A9o,1247001366,55504495,795066539
12,0.90%,KJo,1246822903,47298240,803451257
6,0.45%,55,1250992922,28731922,817847556
4,0.30%,QJs,1239054394,49852123,808665883
4,0.30%,K9s,1229977429,56648553,810946418
4,0.30%,A5s,1217936943,77979612,801655845
4,0.30%,A6s,1220344506,72447218,804780676
12,0.90%,A8o,1224440175,62862129,810270096
12,0.90%,KTo,1226959959,52214074,818398367
4,0.30%,QTs,1220171285,54407652,822993463
4,0.30%,A4s,1198506708,79533094,819532598
12,0.90%,A7o,1199171976,70129398,828271026
4,0.30%,K8s,1191219968,63847580,842504852
4,0.30%,A3s,1181668536,79089680,836814184
12,0.90%,QJo,1193649409,51535593,852387398
12,0.90%,K9o,1183191163,58911625,855469612
12,0.90%,A5o,1169234974,81983213,846354213
12,0.90%,A6o,1171920110,76022178,849630112
4,0.30%,Q9s,1179313858,60474078,857784464
4,0.30%,K7s,1171417014,70957375,855198011
4,0.30%,JTs,1177887186,57602534,862082680
4,0.30%,A2s,1164284001,78559848,854728551
12,0.90%,QTo,1173537003,56357281,867678116
6,0.45%,44,1180021110,32147698,885403592
12,0.90%,A4o,1148061584,83768953,865741863
4,0.30%,K6s,1149567662,77025547,870979191
12,0.90%,K8o,1141742922,66641512,889187966
4,0.30%,Q8s,1141436364,67152284,888983752
12,0.90%,A3o,1129654161,83453609,884464630
4,0.30%,K5s,1129204024,82185635,886182741
4,0.30%,J9s,1135038051,65045137,897489212
12,0.90%,Q9o,1129794528,62861351,904916521
12,0.90%,JTo,1129039428,59642287,908890685
12,0.90%,K7o,1120467131,74254989,902850280
12,0.90%,A2o,1110608066,83116441,903847893
4,0.30%,K4s,1109381784,83726409,904464207
4,0.30%,Q7s,1101718156,74622259,921231985
12,0.90%,K6o,1096969965,80805137,919797298
4,0.30%,K3s,1092208613,83267308,922096479
4,0.30%,T9s,1098642842,69247375,929682183
4,0.30%,J8s,1097274797,71484894,928812709
6,0.45%,33,1108341244,35819814,953411342
4,0.30%,Q6s,1084009562,81105669,932457169
12,0.90%,Q8o,1089280295,70028300,938263805
12,0.90%,K5o,1075088026,86422307,936062067
12,0.90%,J9o,1083173398,67618021,946780981
4,0.30%,K2s,1074795095,82718864,940058441
4,0.30%,Q5s,1063751334,86250529,947570537
4,0.30%,T8s,1059465943,76570746,961535711
12,0.90%,K4o,1053508976,88195273,955868151
4,0.30%,J7s,1058318785,78462767,960790848
4,0.30%,Q4s,1043815735,87773537,965983128
12,0.90%,Q7o,1046780178,78084287,972707935
12,0.90%,T9o,1044920282,71987711,980664407
12,0.90%,J8o,1042779957,74526982,980265461
12,0.90%,K3o,1034758983,87864179,974949238
12,0.90%,Q6o,1027737078,85058721,984776601
4,0.30%,Q3s,1026518567,87294132,983759701
4,0.30%,98s,1024795719,81573810,991202871
4,0.30%,T7s,1020494848,83391254,993686298
4,0.30%,J6s,1018879951,85231180,993461269
12,0.90%,K2o,1015702916,87508267,994361217
6,0.45%,22,1035889822,39805340,1021877238
4,0.30%,Q2s,1008970414,86722846,1001879140
12,0.90%,Q5o,1005974746,90660555,1000937099
4,0.30%,J5s,1003078936,90862846,1003630618
12,0.90%,T8o,1003019374,79840679,1014712347
12,0.90%,J7o,1001090143,82048768,1014433489
12,0.90%,Q4o,984280928,92415629,1020875843
4,0.30%,97s,985655348,89249246,1022667806
4,0.30%,J4s,983104243,92368088,1022100069
4,0.30%,T6s,981668027,89796157,1026108216
4,0.30%,J3s,965759044,91868379,1039944977
12,0.90%,Q3o,965405538,92064087,1040102775
12,0.90%,98o,966316620,85106929,1046148851
4,0.30%,87s,958257237,94484411,1044830752
12,0.90%,T7o,961312472,87190712,1049069216
12,0.90%,J6o,958874577,89387379,1049310444
4,0.30%,96s,947078416,95528642,1054965342
4,0.30%,J2s,948153923,91274251,1058144226
12,0.90%,Q2o,946213445,91685171,1059673784
4,0.30%,T5s,942628592,95533249,1059410559
12,0.90%,J5o,941907501,95491577,1060173322
4,0.30%,T4s,927212359,97596865,1072763176
12,0.90%,97o,924443362,93373294,1079755744
4,0.30%,86s,919124997,101722112,1076725291
12,0.90%,J4o,920178475,97228759,1080165166
12,0.90%,T6o,919746160,94133959,1083692281
4,0.30%,95s,908515397,101068049,1087988954
4,0.30%,T3s,909895095,97076852,1090600453
4,0.30%,76s,898379280,106652749,1092540371
12,0.90%,J3o,901258949,96856769,1099456682
12,0.90%,87o,895522755,98901298,1103148347
4,0.30%,T2s,892310673,96459882,1108801845
4,0.30%,85s,880780296,107166353,1109625751
12,0.90%,96o,883149152,100178053,1114245195
12,0.90%,J2o,882013792,96454849,1119103759
12,0.90%,T5o,877990854,100409701,1119171845
4,0.30%,94s,868544377,102984434,1126043589
4,0.30%,75s,859564300,113123404,1124884696
12,0.90%,T4o,861166500,102727325,1133678575
4,0.30%,93s,855951949,103094363,1138526088
12,0.90%,86o,853640324,106737798,1137194278
4,0.30%,65s,846332445,116843119,1134396836
4,0.30%,84s,841184813,109025471,1147362116
12,0.90%,95o,841896769,106238788,1149436843
12,0.90%,T3o,842284099,102334887,1152953414
4,0.30%,92s,838461663,102454551,1156656186
12,0.90%,76o,831767413,111965689,1153839298
4,0.30%,74s,820337671,114963889,1162270840
12,0.90%,T2o,823068840,101909963,1172593597
4,0.30%,54s,808247748,122535513,1166789139
