entry,at,order
"The player ""david @ _CUkW_t4rD"" passed the room ownership to ""onlycallz @ xj3nLBqQ53"".",2022-08-29T03:59:56.387Z,166174559638700
"The player ""DonkeyKing @ j5UIC5xTp0"" stand up with the stack of 274.73.",2022-08-29T03:19:35.316Z,166174317531600
"The admin ""david @ _CUkW_t4rD"" enqueued the game stop on next hand.",2022-08-29T03:19:14.033Z,166174315403300
"-- ending hand #360 --",2022-08-29T03:19:07.373Z,166174314737302
"""DonkeyKing @ j5UIC5xTp0"" collected 0.50 from pot",2022-08-29T03:19:07.373Z,166174314737301
"Uncalled bet of 0.25 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:19:07.373Z,166174314737300
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:19:06.477Z,166174314647700
"""DonkeyKing @ j5UIC5xTp0"" posts a big blind of 0.50",2022-08-29T03:18:51.460Z,166174313146005
"""onlycallz @ xj3nLBqQ53"" posts a small blind of 0.25",2022-08-29T03:18:51.460Z,166174313146004
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (106.22) | #6 ""DonkeyKing @ j5UIC5xTp0"" (274.48)",2022-08-29T03:18:51.460Z,166174313146001
"-- starting hand #360  (No Limit Texas Hold'em) (dealer: ""onlycallz @ xj3nLBqQ53"") --",2022-08-29T03:18:51.460Z,166174313146000
"-- ending hand #359 --",2022-08-29T03:18:48.460Z,166174312846002
"""DonkeyKing @ j5UIC5xTp0"" collected 1.00 from pot",2022-08-29T03:18:48.460Z,166174312846001
"Uncalled bet of 0.75 returned to ""DonkeyKing @ j5UIC5xTp0""",2022-08-29T03:18:48.460Z,166174312846000
"""onlycallz @ xj3nLBqQ53"" folds",2022-08-29T03:18:47.608Z,166174312760800
"""DonkeyKing @ j5UIC5xTp0"" raises to 1.25",2022-08-29T03:18:46.110Z,166174312611000
"""onlycallz @ xj3nLBqQ53"" posts a big blind of 0.50",2022-08-29T03:18:42.651Z,166174312265105
"""DonkeyKing @ j5UIC5xTp0"" posts a small blind of 0.25",2022-08-29T03:18:42.651Z,166174312265104
"Player stacks: #1 ""onlycallz @ xj3nLBqQ53"" (106.72) | #6 ""DonkeyKing @ j5UIC5xTp0"" (273.98)",2022-08-29T03:18:42.651Z,166174312265101
